left,right,spearman_r,abs_r
Tp,Entropy,0.8901229012253127,0.8901229012253127
BTOTAL,Total_Pressure,0.8411915256400638,0.8411915256400638
Vp,Entropy,0.831713037901145,0.831713037901145
Vp,Tp,0.8243943108145715,0.8243943108145715
Np,Entropy,-0.7622204025821939,0.7622204025821939
Np,Total_Pressure,0.7080028826955498,0.7080028826955498
Np,Beta,0.6314594851949662,0.6314594851949662
Vp,Np,-0.5535085547530433,0.5535085547530433
Beta,Entropy,-0.5449186815743874,0.5449186815743874
Np,Tp,-0.4392096490657466,0.4392096490657466
Vp,Beta,-0.4237545641045314,0.4237545641045314
BTOTAL,Beta,-0.38704197267439383,0.38704197267439383
